mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	4	3/4	3/4	0					firstMeasure	2
2	2	3	3.0	4	3/4	3/4	0						3
3	3	6	3.0	4	3/4	3/4	0						4
4	4	9	3.0	4	3/4	3/4	0				line		5
5	5	12	2.0	4	2/4	1/2	0						6
6	6	14	3.0	4	3/4	3/4	0						7
7	7	17	3.0	4	3/4	3/4	0						8
8	8	20	3.0	4	3/4	3/4	0						9
9	9	23	3.0	4	3/4	3/4	0				line		10
10	10	26	3.0	4	3/4	3/4	0						11
11	11	29	3.0	4	3/4	3/4	0						12
12	12	32	2.0	4	2/4	1/2	0						13
13	13	34	2.0	4	2/4	1/2	0						14
14	14	36	2.0	4	2/4	1/2	0				line		15
15	15	38	3.0	4	3/4	3/4	0						16
16	16	41	3.0	4	3/4	3/4	0						17
17	17	44	3.0	4	3/4	3/4	0						18
18	18	47	2.0	4	2/4	1/2	0				page		19
19	19	49	2.0	4	2/4	1/2	0						20
20	20	51	2.0	4	2/4	1/2	0						21
21	21	53	2.0	4	2/4	1/2	0						22
22	22	55	2.0	4	2/4	1/2	0						23
23	23	57	2.0	4	2/4	1/2	0				line		24
24	24	59	2.0	4	2/4	1/2	0						25
25	25	61	2.0	4	2/4	1/2	0						26
26	26	63	2.0	4	2/4	1/2	0						27
27	27	65	2.0	4	2/4	1/2	0				line		28
28	28	67	2.0	4	2/4	1/2	0						29
29	29	69	2.0	4	2/4	1/2	0						30
30	30	71	2.0	4	2/4	1/2	0				page		31
31	31	73	2.0	4	2/4	1/2	0						32
32	32	75	2.0	4	2/4	1/2	0						33
33	33	77	2.0	4	2/4	1/2	0						34
34	34	79	2.0	4	2/4	1/2	0				line		35
35	35	81	2.0	4	2/4	1/2	0						36
36	36	83	2.0	4	2/4	1/2	0						37
37	37	85	2.0	4	2/4	1/2	0						38
38	38	87	2.0	4	2/4	1/2	0				line		39
39	39	89	2.0	4	2/4	1/2	0						40
40	40	91	2.0	4	2/4	1/2	0						41
41	41	93	3.0	4	3/4	3/4	0						42
42	42	96	3.0	4	3/4	3/4	0				page		43
43	43	99	3.0	4	3/4	3/4	0						44
44	44	102	3.0	4	3/4	3/4	0						45
45	45	105	2.0	4	2/4	1/2	0						46
46	46	107	2.0	4	2/4	1/2	0				line		47
47	47	109	3.0	4	3/4	3/4	0						48
48	48	112	3.0	4	3/4	3/4	0						49
49	49	115	3.0	4	3/4	3/4	0				line		50
50	50	118	3.0	4	3/4	3/4	0						51
51	51	121	3.0	4	3/4	3/4	0						52
52	52	124	3.0	4	3/4	3/4	0					lastMeasure	-1
